date,act_symbol,expiration,strike,call_put,bid,ask,vol,delta,gamma,theta,vega,rho,CLOSE
2019-02-23,A,2019-03-15,82.5,Call,0.14,0.21,0.1686,0.1152,0.0613,-0.0153,0.0365,0.0051,75.8174
2019-02-23,A,2019-03-15,82.5,Put,3.85,4.5,0.1676,-0.9019,0.0652,-0.0103,0.0335,-0.0193,75.8174
2019-02-23,A,2019-03-15,85.0,Call,0.02,0.06,0.1686,0.0263,0.0192,-0.0048,0.0115,0.0012,75.8174
2019-02-23,A,2019-03-15,85.0,Put,6.25,6.75,0.1676,-0.9989,0.0095,0.0,0.002,0.0,75.8174
2019-02-23,A,2019-03-15,90.0,Call,0.0,0.01,0.1686,0.0004,0.0005,-0.0001,0.0003,0.0,75.8174
2019-02-23,A,2019-03-15,90.0,Put,11.15,11.75,0.1676,-1.0,0.0,0.0,0.0,0.0,75.8174
2019-02-23,A,2019-04-18,65.0,Call,13.35,14.25,0.3276,0.9451,0.0117,-0.0148,0.0345,0.066,75.8174
2019-02-23,A,2019-04-18,65.0,Put,0.1,0.13,0.2774,-0.0337,0.009,-0.0056,0.0225,-0.0041,75.8174
2019-02-23,A,2019-04-18,70.0,Call,8.8,9.25,0.2643,0.886,0.025,-0.0189,0.061,0.072,75.8174
2019-02-23,A,2019-04-18,70.0,Put,0.35,0.41,0.2464,-0.1032,0.0244,-0.0118,0.0558,-0.0115,75.8174
2019-02-23,A,2019-04-18,72.5,Call,6.4,7.05,0.2322,0.8306,0.037,-0.0209,0.0763,0.0733,75.8174
2019-02-23,A,2019-04-18,72.5,Put,0.63,0.7,0.2302,-0.1719,0.0371,-0.0155,0.0776,-0.0189,75.8174
2019-02-23,A,2019-04-18,75.0,Call,4.6,4.8,0.2164,0.7277,0.0519,-0.0241,0.1012,0.0702,75.8174
2019-02-23,A,2019-04-18,75.0,Put,1.11,1.28,0.2201,-0.2797,0.0514,-0.0193,0.1038,-0.0299,75.8174
2019-02-23,A,2019-04-18,77.5,Call,2.94,3.3,0.2144,0.5824,0.0612,-0.0266,0.1171,0.0603,75.8174
2019-02-23,A,2019-04-18,77.5,Put,1.81,2.09,0.2032,-0.4202,0.0649,-0.02,0.1172,-0.0435,75.8174
2019-02-23,A,2019-04-18,80.0,Call,1.65,1.83,0.1973,0.42,0.0663,-0.0239,0.119,0.0456,75.8174
2019-02-23,A,2019-04-18,80.0,Put,3.05,3.4,0.1987,-0.5862,0.0666,-0.0186,0.1182,-0.058,75.8174
2019-02-23,A,2019-04-18,82.5,Call,0.73,0.86,0.1812,0.2517,0.0587,-0.0175,0.0964,0.0282,75.8174
2019-02-23,A,2019-04-18,82.5,Put,4.7,4.9,0.1837,-0.7545,0.0588,-0.0121,0.0945,-0.0699,75.8174
2019-02-23,A,2019-04-18,85.0,Call,0.33,0.39,0.1804,0.1352,0.04,-0.0117,0.0654,0.0151,75.8174
2019-02-23,A,2019-04-18,85.0,Put,6.5,6.95,0.1565,-0.9108,0.0362,-0.0019,0.0512,-0.069,75.8174
2019-02-23,A,2019-04-18,90.0,Call,0.0,0.06,0.1804,0.027,0.0115,-0.0033,0.0188,0.003,75.8174
2019-02-23,A,2019-04-18,90.0,Put,11.45,12.35,0.1565,-1.0,0.0,0.0,0.0,-0.0001,75.8174
2019-03-02,A,2019-03-15,70.0,Call,10.85,11.65,0.4047,0.9735,0.0096,-0.0188,0.0098,0.0259,78.5438
2019-03-02,A,2019-03-15,70.0,Put,0.0,0.05,0.3739,-0.0184,0.0076,-0.0095,0.0072,-0.0006,78.5438
2019-03-02,A,2019-03-15,72.5,Call,8.65,9.3,0.3879,0.9396,0.0194,-0.0311,0.019,0.0257,78.5438
2019-03-02,A,2019-03-15,72.5,Put,0.06,0.08,0.3264,-0.0336,0.0144,-0.0137,0.0119,-0.0011,78.5438
2019-03-02,A,2019-03-15,75.0,Call,6.15,6.55,0.2188,0.9721,0.0184,-0.013,0.0102,0.0278,78.5438
2019-03-02,A,2019-03-15,75.0,Put,0.11,0.16,0.2816,-0.067,0.0291,-0.0205,0.0207,-0.002,78.5438
2019-03-02,A,2019-03-15,77.5,Call,4.0,4.15,0.2302,0.8624,0.0602,-0.0334,0.0349,0.0252,78.5438
2019-03-02,A,2019-03-15,77.5,Put,0.24,0.3,0.2327,-0.1401,0.0605,-0.0288,0.0355,-0.0041,78.5438
2019-03-02,A,2019-03-15,80.0,Call,1.93,2.04,0.1933,0.6742,0.1174,-0.0433,0.0572,0.0202,78.5438
2019-03-02,A,2019-03-15,80.0,Put,0.64,0.71,0.1941,-0.3276,0.1182,-0.0384,0.0581,-0.0092,78.5438
2019-03-02,A,2019-03-15,82.5,Call,0.52,0.62,0.1657,0.3338,0.1383,-0.0361,0.0578,0.0101,78.5438
2019-03-02,A,2019-03-15,82.5,Put,1.73,1.85,0.1706,-0.6666,0.1377,-0.0324,0.058,-0.0162,78.5438
2019-03-02,A,2019-03-15,85.0,Call,0.07,0.1,0.157,0.0767,0.0578,-0.0133,0.0229,0.0023,78.5438
2019-03-02,A,2019-03-15,85.0,Put,3.5,3.9,0.157,-0.9386,0.0621,-0.0083,0.0205,-0.0111,78.5438
2019-03-02,A,2019-03-15,87.5,Call,0.0,0.03,0.157,0.0088,0.0096,-0.0022,0.0038,0.0003,78.5438
2019-03-02,A,2019-03-15,87.5,Put,6.15,6.4,0.157,-1.0,0.0,0.0,0.0,0.0,78.5438
2019-03-02,A,2019-03-15,90.0,Call,0.0,0.01,0.157,0.0005,0.0007,-0.0002,0.0003,0.0,78.5438
2019-03-02,A,2019-03-15,90.0,Put,8.5,9.0,0.157,-1.0,0.0,0.0,0.0,0.0,78.5438
2019-03-02,A,2019-03-15,95.0,Call,0.0,0.03,0.157,0.0,0.0,0.0,0.0,0.0,78.5438
2019-03-02,A,2019-03-15,95.0,Put,13.35,14.05,0.157,-1.0,0.0,0.0,0.0,0.0,78.5438
2019-03-02,A,2019-04-18,70.0,Call,9.25,13.25,0.2803,0.9429,0.0148,-0.015,0.0341,0.0611,78.5438
2019-03-02,A,2019-04-18,70.0,Put,0.16,0.29,0.2803,-0.0612,0.0149,-0.0102,0.0357,-0.0062,78.5438
2019-03-02,A,2019-04-18,72.5,Call,6.85,11.3,0.2303,0.9291,0.0213,-0.0148,0.0405,0.0637,78.5438
2019-03-02,A,2019-04-18,72.5,Put,0.3,0.37,0.2522,-0.0939,0.023,-0.0126,0.0495,-0.0095,78.5438
2019-03-02,A,2019-04-18,75.0,Call,6.8,7.0,0.2318,0.8491,0.0357,-0.0216,0.0685,0.0679,78.5438
2019-03-02,A,2019-04-18,75.0,Put,0.54,0.63,0.2345,-0.1574,0.0356,-0.0167,0.0715,-0.0156,78.5438
2019-03-02,A,2019-04-18,77.5,Call,4.7,4.9,0.2127,0.7518,0.0521,-0.0252,0.0943,0.0662,78.5438
2019-03-02,A,2019-04-18,77.5,Put,0.96,1.03,0.2155,-0.2548,0.0517,-0.0201,0.0951,-0.0246,78.5438
2019-03-02,A,2019-04-18,80.0,Call,2.96,3.1,0.1995,0.6069,0.067,-0.0273,0.1126,0.0576,78.5438
2019-03-02,A,2019-04-18,80.0,Put,1.57,1.85,0.2003,-0.3982,0.0673,-0.0219,0.1128,-0.037,78.5438
2019-03-02,A,2019-04-18,82.5,Call,1.63,1.81,0.1923,0.4326,0.0707,-0.0259,0.1145,0.0428,78.5438
2019-03-02,A,2019-04-18,82.5,Put,2.8,3.0,0.1925,-0.5742,0.0717,-0.0204,0.1139,-0.0503,78.5438
2019-03-02,A,2019-04-18,85.0,Call,0.74,0.82,0.1789,0.2566,0.0622,-0.0193,0.0937,0.026,78.5438
2019-03-02,A,2019-04-18,85.0,Put,4.35,4.75,0.1874,-0.7425,0.0614,-0.0149,0.0965,-0.0603,78.5438
2019-03-02,A,2019-04-18,87.5,Call,0.19,0.4,0.1728,0.1258,0.0412,-0.0118,0.0601,0.0127,78.5438
2019-03-02,A,2019-04-18,87.5,Put,6.15,6.85,0.177,-0.8797,0.0412,-0.0062,0.0613,-0.0651,78.5438
2019-03-02,A,2019-04-18,90.0,Call,0.07,0.12,0.1666,0.0482,0.0207,-0.0054,0.0291,0.0049,78.5438
2019-03-02,A,2019-04-18,90.0,Put,6.35,9.55,0.1666,-0.9611,0.0189,0.0,0.0271,-0.0577,78.5438
2019-03-02,A,2019-04-18,95.0,Call,0.0,0.05,0.1666,0.0051,0.0031,-0.0008,0.0043,0.0005,78.5438
2019-03-02,A,2019-04-18,95.0,Put,13.4,14.55,0.1666,-0.9995,0.0023,0.0,0.0,-0.0001,78.5438
2019-03-09,A,2019-03-15,67.5,Call,10.45,10.85,0.6421,0.9534,0.0141,-0.0529,0.0105,0.0121,75.392
2019-03-09,A,2019-03-15,67.5,Put,0.02,0.03,0.4817,-0.0135,0.0067,-0.0128,0.0037,-0.0002,75.392
2019-03-09,A,2019-03-15,70.0,Call,7.75,8.6,0.5277,0.9365,0.0219,-0.0554,0.0134,0.0123,75.392
2019-03-09,A,2019-03-15,70.0,Put,0.03,0.05,0.4033,-0.0241,0.013,-0.0175,0.0061,-0.0004,75.392
2019-03-09,A,2019-03-15,72.5,Call,5.35,5.95,0.3737,0.9263,0.0348,-0.045,0.015,0.0127,75.392
2019-03-09,A,2019-03-15,72.5,Put,0.09,0.11,0.3486,-0.0607,0.032,-0.0321,0.0129,-0.0009,75.392
2019-03-09,A,2019-03-15,75.0,Call,3.2,3.4,0.2984,0.8361,0.077,-0.0614,0.0266,0.0118,75.392
2019-03-09,A,2019-03-15,75.0,Put,0.21,0.25,0.2774,-0.1467,0.0773,-0.0487,0.0252,-0.0021,75.392
2019-03-09,A,2019-03-15,77.5,Call,1.21,1.3,0.2278,0.59,0.1586,-0.0717,0.0418,0.0085,75.392
2019-03-09,A,2019-03-15,77.5,Put,0.67,0.76,0.222,-0.409,0.164,-0.0651,0.0421,-0.0055,75.392
2019-03-09,A,2019-03-15,80.0,Call,0.14,0.24,0.1911,0.174,0.1249,-0.0389,0.0276,0.0025,75.392
2019-03-09,A,2019-03-15,80.0,Put,2.12,2.34,0.2088,-0.8086,0.125,-0.0409,0.0303,-0.0086,75.392
2019-03-09,A,2019-03-15,82.5,Call,0.0,0.03,0.1911,0.0176,0.0211,-0.0065,0.0047,0.0003,75.392
2019-03-09,A,2019-03-15,82.5,Put,4.4,4.8,0.2088,-0.9824,0.03,-0.0053,0.0054,-0.0032,75.392
2019-03-09,A,2019-03-15,85.0,Call,0.0,0.02,0.1911,0.0006,0.001,-0.0003,0.0002,0.0,75.392
2019-03-09,A,2019-03-15,85.0,Put,6.8,7.3,0.2088,-1.0,0.0,0.0,0.0,0.0,75.392
2019-03-09,A,2019-03-15,90.0,Call,0.0,0.01,0.1911,0.0,0.0,0.0,0.0,0.0,75.392
2019-03-09,A,2019-03-15,90.0,Put,11.6,12.6,0.2088,-1.0,0.0,0.0,0.0,0.0,75.392
2019-03-09,A,2019-04-18,65.0,Call,12.55,13.7,0.2969,0.9768,0.008,-0.0102,0.0148,0.0412,75.392
2019-03-09,A,2019-04-18,65.0,Put,0.13,0.15,0.3252,-0.0398,0.0103,-0.0088,0.0221,-0.0035,75.392
2019-03-09,A,2019-04-18,70.0,Call,8.15,8.55,0.262,0.9074,0.0259,-0.0191,0.044,0.053,75.392
2019-03-09,A,2019-04-18,70.0,Put,0.37,0.4,0.2757,-0.1082,0.0263,-0.016,0.0485,-0.0089,75.392
2019-03-09,A,2019-04-18,72.5,Call,5.95,6.35,0.248,0.8289,0.041,-0.025,0.066,0.056,75.392
2019-03-09,A,2019-04-18,72.5,Put,0.65,0.69,0.2546,-0.1807,0.0404,-0.0207,0.0673,-0.0147,75.392
2019-03-09,A,2019-04-18,75.0,Call,4.15,4.35,0.2424,0.7049,0.0561,-0.0309,0.0893,0.0528,75.392
2019-03-09,A,2019-04-18,75.0,Put,1.09,1.21,0.2336,-0.2924,0.0577,-0.0245,0.0896,-0.023,75.392
2019-03-09,A,2019-04-18,77.5,Call,2.49,2.66,0.2243,0.5519,0.069,-0.0316,0.102,0.0437,75.392
2019-03-09,A,2019-04-18,77.5,Put,2.0,2.04,0.2209,-0.4519,0.0707,-0.026,0.102,-0.0339,75.392
2019-03-09,A,2019-04-18,80.0,Call,1.33,1.39,0.2119,0.3742,0.0699,-0.0279,0.0993,0.0305,75.392
2019-03-09,A,2019-04-18,80.0,Put,3.2,3.35,0.2043,-0.6383,0.0733,-0.0217,0.0964,-0.044,75.392
